date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:12	17227/17227	---M--	200	added ('OK')	text/html	etag:%2261e4d8ba-434b%22	https://www.wplus.world/	C:/My%20Web%20Sites/Website/www.wplus.world/index.html	(from )
22:43:12	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jan%202022%2014:43:12%20GMT	https://www.wplus.world/robots.txt		(from )
22:43:14	115870/115870	---M--	200	added ('OK')	image/jpeg	etag:%22ee701fa6966eefe5d1895386447258c1%22	https://i.imgur.com/Uuxvi9i.jpeg	C:/My%20Web%20Sites/Website/i.imgur.com/Uuxvi9i.jpg	(from https://www.wplus.world/)
22:43:14	1624/1624	---M--	200	added ('OK')	image/png	etag:%2261870ed5-658%22	https://www.wplus.world/assets/media/favicon.png	C:/My%20Web%20Sites/Website/www.wplus.world/assets/media/favicon.png	(from https://www.wplus.world/)
22:43:15	162448/162448	---M--	200	added ('OK')	text/css	etag:%226187dbe8-27a90%22	https://www.wplus.world/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/vendor/bootstrap.min.css	(from https://www.wplus.world/)
22:43:15	156433/156433	---M--	200	added ('OK')	text/css	etag:%226187dbe8-26311%22	https://www.wplus.world/assets/css/vendor/font-awesome.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/vendor/font-awesome.css	(from https://www.wplus.world/)
22:43:15	1327/1327	---M--	200	added ('OK')	text/css	etag:%226187dbe8-52f%22	https://www.wplus.world/assets/css/vendor/slick.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/vendor/slick.css	(from https://www.wplus.world/)
22:43:16	2349/2349	---M--	200	added ('OK')	text/css	etag:%226187dbe8-92d%22	https://www.wplus.world/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/vendor/slick-theme.css	(from https://www.wplus.world/)
22:43:17	7510/7510	---M--	200	added ('OK')	text/css	etag:%2261870ed5-1d56%22	https://www.wplus.world/assets/css/vendor/sal.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/vendor/sal.css	(from https://www.wplus.world/)
22:43:17	5235/5235	---M--	200	added ('OK')	text/css	etag:%226187dbe8-1473%22	https://www.wplus.world/assets/css/vendor/magnific-popup.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/vendor/magnific-popup.css	(from https://www.wplus.world/)
22:43:18	135431/135431	---M--	200	added ('OK')	text/css	etag:%2261c18668-21107%22	https://www.wplus.world/assets/css/app.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/app.css	(from https://www.wplus.world/)
22:43:18	8559/8559	---M--	200	added ('OK')	text/css	etag:%2261e4d8ba-216f%22	https://www.wplus.world/assets/css/custom.css	C:/My%20Web%20Sites/Website/www.wplus.world/assets/css/custom.css	(from https://www.wplus.world/)
22:43:19	17227/17227	---M--	200	added ('OK')	text/html	etag:%2261e4d8ba-434b%22	https://www.wplus.world/index.html	C:/My%20Web%20Sites/Website/www.wplus.world/index-2.html	(from https://www.wplus.world/)
22:43:19	3282/3282	---M--	200	added ('OK')	image/svg+xml	etag:%2261870ed5-cd2%22	https://www.wplus.world/assets/media/logo-2.svg	C:/My%20Web%20Sites/Website/www.wplus.world/assets/media/logo-2.svg	(from https://www.wplus.world/)
22:43:20	16163/16163	---M--	200	added ('OK')	text/html	etag:%2261e4d8ba-3f23%22	https://www.wplus.world/about.html	C:/My%20Web%20Sites/Website/www.wplus.world/about.html	(from https://www.wplus.world/)
22:43:20	17433/17433	---M--	200	added ('OK')	text/html	etag:%2261e4d8ba-4419%22	https://www.wplus.world/products.html	C:/My%20Web%20Sites/Website/www.wplus.world/products.html	(from https://www.wplus.world/)
22:43:21	11737/11737	---M--	200	added ('OK')	text/html	etag:%2261e4d8ba-2dd9%22	https://www.wplus.world/news.html	C:/My%20Web%20Sites/Website/www.wplus.world/news.html	(from https://www.wplus.world/)
22:43:21	15432/15432	---M--	200	added ('OK')	text/html	etag:%2261e4d8ba-3c48%22	https://www.wplus.world/indexEN.html	C:/My%20Web%20Sites/Website/www.wplus.world/indexEN.html	(from https://www.wplus.world/)
